QID1	Position	Q2_1	Q2_2	Q2_3	Q2_4	Q2_5	Q2_6	Q3_1	Q3_2	Q3_3	Q3_4	Q3_5	Q3_6	Q4_1	Q4_2	Q4_3	Q4_4	Q4_5	Q4_6	Q4_7	Comments	Gender	LGBTQ	UnderRep	Black	Asian	LatinX	MiddleEast	Native	HawaiiPI	White	Other	Ethnicity.text	Disability	Military	Academic_Class	Staff_wStudents	Faculty_rank	Faculty_appoint	Gender.exp	LGBTQ.text	Q18_1	Q18_2	Q18_3	Q18_4	Q18_5	Q19_1	Q19_4	Q19_5	Q19_6	Q19_7	Q19_8	Q19_9	Q19_10	Q19_11	Q19_12	Q19_13	Q19_14	Disability.text	role		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	5	3	4	4	5	4	4	4	4	5	5	5	5	2	4				Cisgender Woman*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	4	4	4	4	4	4	4	4	4	4	4	5	5	4		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	3	3	3	4	3	4	5	4	4	4	4	4	4	4	4	3				Response not listed (you'll have a chance to specify later)	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	5	5	5	5	5	5	5	4	5	4	5	4	4	5	4		5			Cisgender Man*	No	No	0	1	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Associate	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	3	3	4	2	3	4	4	4	3	4	3	4	3	4	4	4	5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	4	5	5	5	5	5	5	5	2	4	4	3	5	5	5		5		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	Master's student																								Graduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4		4		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	3	4	4	3	1	4		4	4	4	3	3	3	1	3	4							0	0	0	0	0	0	0	FALSE					No																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4				Cisgender Man*	No	Yes	0	0	1	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	3	3	3	3	2	2	3	3	3	3	2	2	2	4	3	4	3		3		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	3	4	4	4	4		4	4	4	4	4	4	4		5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"Yes, I have a disability"	I have never served		No																					Other (please specify):	Arthritis	Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	2	2	2	1	2	3	3	4	3	2	4	4	4	4	4	4	2		2		Cisgender Man*	No	No	0	0	0	1	0	0	0	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	4	4	4	4	5	5	5	4	3	4		4		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	4	5	4	4	5	5	5	4	5	4	5	4	5	5	4		5			Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	3	4	4	2	4	4	4	4	4	4	4	4	4	4	2	4		4		Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	PhD student																								Graduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	4	2	2		3	4	4	3		2	1	3	2	3			4			Response not listed (you'll have a chance to specify later)	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Assistant	Instructional faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	3	2	2	4	3	4	4	2	3	3	4	4	4	2	3		1	"I feel I'm being forced to study unnecessary stuff in some classes. I understood I'm limited in my abilities to change it, but perhaps we can consider better ways to learn than just taking hours of exam in a week? And also coordination with professors in current classes to push back exams or reduce study material due to current situation"	Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	3	2	3	4	3		3	2	3	5	4	4	3	3	5	3	4				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5		5		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	3	4	3	5	4	4	5	5	4	4	4	3	3	3	5	4		5			Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	3	5	3	5	5	5	3	3	3	5	4	5	5	4	5		5		Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	4	4	2	4	3	3	5	3	4	5	3	4	4	4	5	2		5			Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	5	4	5	5	3	4	5	4	4	4	5	4	4	4	4	5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		Yes																							Staff		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	4	4	4	5	4		4		5	5	3	3	3	3	4	4	5				Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served		No																							Staff		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	3	3	4	4	3	3	3	3	4	3		4		Cisgender Man*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	3rd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	5	4	5	4	3	4	4	4	3	4	4	4	4	4	2	3	4		4		Cisgender Man*	No	Yes	1	0	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	4th year undergraduate																								Undergraduate		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	3	4	4	4	4	4	4	4	4	5	5	5	4	4	3	4		4		"Please, can we help move much older chairs out of those chaired positions and hand those funds and titles to deserving, active, younger faculty? Thank you!"	Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served			Full	Tenured or tenure-track faculty																					Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	3	2	4	4	3	3	5	2	3	3	3	5	4	5	4	3		4		Cisgender Woman*	No	No	0	1	0	0	0	0	0	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	4	4	4	4	4	3	4	3	4	4	4	4	5	5	5		4		Cisgender Man*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	2nd year undergraduate																								Undergraduate		
"Yes, I consent"	"Staff (e.g., postdocs, technical staff, administrative staff, etc.)"	5	4	5	4	5	5	5	3	5	5	4	5	4	4	5	4	5			I do feel that conservative values and opinions are discouraged throughout the University and Cockrell School.	Cisgender Man*	No	Yes	0	0	1	0	0	0	0	FALSE		"No, I do not have a disability"	"I am no longer serving in U.S. Armed Forces, Military Reserves or National Guard"		Yes																							Staff		
"Yes, I consent"	"Faculty (e.g., instructional or research)"	5	5	3	5	3	2	3	5	2	4	5	5	5	5	5	2		5					No	0	0	0	0	0	0	0	FALSE		"Yes, I have a disability"	I have never served																			Mental Health/Psychological Condition						Faculty		
"Yes, I consent"	"Student (e.g., enrolled undergraduate or graduate student)"	4	4	2	4	4	4	3	4	4	4	4	4	4	4	4	4	4		4		Cisgender Woman*	No	No	0	0	0	0	0	0	1	FALSE		"No, I do not have a disability"	I have never served	1st year undergraduate																								Undergraduate		
