QID1,Position,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Comments,Gender,LGBTQ,UnderRep,Black,Asian,LatinX,MiddleEast,Native,HawaiiPI,White,Other,Ethnicity.text,Disability,Military,Academic_Class,Staff_wStudents,Faculty_rank,Faculty_appoint,Gender.exp,LGBTQ.text,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_4,Q19_5,Q19_6,Q19_7,Q19_8,Q19_9,Q19_10,Q19_11,Q19_12,Q19_13,Q19_14,Disability.text,role,Filter?,Sexual Identity
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,#N/A,5,#N/A,Cisgender Man*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,PhD student,#N/A,#N/A,#N/A,#N/A,"Mostly straight, bit bi",5,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Bisexual
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",2,4,2,4,4,3,3,5,3,5,2,2,3,3,4,4,5,#N/A,#N/A,#N/A,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,Yes,#N/A,#N/A,#N/A,#N/A,2,2,2,2,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Undisclosed
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",5,4,4,5,4,5,5,4,4,2,5,4,4,5,5,5,5,#N/A,5,#N/A,Cisgender Man*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,4th year undergraduate,#N/A,#N/A,#N/A,#N/A,Gay,5,4,4,5,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Gay
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",5,4,5,2,5,4,4,4,5,4,5,5,5,5,5,5,5,#N/A,#N/A,#N/A,Cisgender Woman*,Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,Yes,#N/A,#N/A,#N/A,Bisexual,3,4,2,3,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Bisexual
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",1,1,1,4,1,1,1,4,4,1,1,1,1,1,3,1,1,#N/A,1,#N/A,Nonbinary/Gender Non-Conforming,Yes,Yes,1,0,1,0,0,0,0,FALSE,#N/A,"Yes, I have a disability",I have never served,3rd year undergraduate,#N/A,#N/A,#N/A,#N/A,"Gender fluid, pansexual",1,1,1,1,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Mental Health/Psychological Condition,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Pansexual
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",4,4,3,5,2,5,5,4,3,4,3,2,2,3,4,2,5,#N/A,#N/A,#N/A,Cisgender Woman*,Yes,Yes,1,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability","I am no longer serving in U.S. Armed Forces, Military Reserves or National Guard",#N/A,Yes,#N/A,#N/A,#N/A,Lesbian,4,4,2,4,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Lesbian
"Yes, I consent","Staff (e.g., postdocs, technical staff, administrative staff, etc.)",2,3,3,2,3,3,3,3,3,4,3,2,2,2,5,2,4,#N/A,#N/A,#N/A,Cisgender Woman*,Yes,Yes,0,0,1,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,No,#N/A,#N/A,#N/A,Gay,5,5,2,2,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Staff,FALSE,Gay
"Yes, I consent","Faculty (e.g., instructional or research)",4,3,4,4,4,4,5,5,3,3,3,3,3,3,5,2,#N/A,3,#N/A,"There are no Black or Brown people in positions of leadership. Support within your department or research center just depends on who is the leader at that time. Some are good/supportive, some are not. Some are very resistant to any change, and it squashes great ideas before they even get to gain traction. CSE leadership seems to put people in leadership positions based on when it's ""their turn"" not because they would truly be best for taking the department or research center to the next level.",Response not listed (you'll have a chance to specify later),Yes,No,0,0,0,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,#N/A,#N/A,Assistant,Tenured or tenure-track faculty,genderqueer,gay/queer,4,4,3,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Faculty,FALSE,Gay
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,#N/A,4,#N/A,Cisgender Man*,Yes,No,0,1,0,0,0,0,0,FALSE,#N/A,"No, I do not have a disability",I am currently serving or formerly served in the military forces of another government,PhD student,#N/A,#N/A,#N/A,#N/A,gay,5,3,3,3,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Graduate,FALSE,Gay
"Yes, I consent","Student (e.g., enrolled undergraduate or graduate student)",4,4,3,3,4,3,4,4,3,3,3,4,4,4,5,3,3,#N/A,4,"I haven’t had much direct experience with faculty and staff, though the experiences i have had have been positive.",Cisgender Woman*,Yes,Yes,0,0,1,0,0,0,1,FALSE,#N/A,"No, I do not have a disability",I have never served,3rd year undergraduate,#N/A,#N/A,#N/A,#N/A,bisexual,4,4,3,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Undergraduate,FALSE,Bisexual
